inputs,label
"[4.41361205 3.94925959 4.46313491 9.49660386 2.26580338 1.51688778
 2.21896604 4.99455071 0.         0.57190596 2.24901287 2.78982979]",1
"[2.910224   0.14499769 0.14499769 4.52411473 5.75138144 1.2738482
 0.94044634 5.18262862 0.33566322 0.38364861 0.         1.39386457]",1
"[1.55619038 4.10715151 5.58651236 3.58603119 2.32157935 2.81304141
 1.87818752 4.22102231 0.         0.38364861 7.46128336 7.49300104]",1
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1
"[3.50813171 0.63601989 0.27323569 0.23483783 1.22995171 0.19513228
 0.33340186 0.4684268  0.95555457 0.         1.11884823 0.        ]",1
"[2.17641882 2.96128941 4.46313491 3.63302988 0.85725154 0.57644145
 1.27851971 1.40825179 0.         0.95555457 0.87705351 2.20294102]",1
"[0.67303077 0.84297249 0.14499769 1.33945925 4.3428296  0.33340186
 0.         1.59632969 0.33566322 0.         1.37195936 0.8069758 ]",1
"[0.68100285 5.09512169 5.58651236 2.27754279 0.91302751 1.87259507
 0.93774118 0.63472339 0.         0.         6.089324   6.90611227]",1
"[3.50813171 0.63601989 0.27323569 0.23483783 1.22995171 0.19513228
 0.33340186 0.4684268  0.95555457 0.         1.11884823 0.        ]",1
"[2.17641882 2.96128941 4.46313491 3.63302988 0.85725154 0.57644145
 1.27851971 1.40825179 0.         0.95555457 0.87705351 2.20294102]",1
"[0.67303077 0.84297249 0.14499769 1.33945925 4.3428296  0.33340186
 0.         1.59632969 0.33566322 0.         1.37195936 0.8069758 ]",1
"[0.68100285 5.09512169 5.58651236 2.27754279 0.91302751 1.87259507
 0.93774118 0.63472339 0.         0.         6.089324   6.90611227]",1
"[5.68455052 2.32526952 4.18989922 3.86786771 2.08720325 0.38130917
 0.94511784 0.93982499 0.95555457 0.95555457 1.99590175 2.20294102]",1
"[4.18116248 1.47899238 0.128238   1.10462141 5.57278131 0.13826958
 0.33340186 1.12790289 1.29121779 0.         0.25311112 0.8069758 ]",1
"[2.82712885 5.73114158 5.85974804 2.04270496 2.14297921 1.67746279
 0.60433932 0.16629659 0.95555457 0.         7.20817224 6.90611227]",1
"[1.50338805 3.8042619  4.31813722 4.97248913 3.48557806 0.24303959
 1.27851971 0.1880779  0.33566322 0.95555457 2.24901287 1.39596522]",1
"[ 2.85742167  8.0564111  10.04964727  5.91057267  0.05577597  1.29615363
  0.34077853  0.7735284   0.          0.95555457  5.21227049  4.70317125]",1
"[1.35403362 4.2521492  5.73151005 0.93808355 3.42980209 1.53919321
 0.93774118 0.96160631 0.33566322 0.         7.46128336 6.09913647]",1
"[4.64509953 1.54083635 2.25831813 0.06790947 3.4140814  1.64738449
 0.52125764 0.66600116 0.         0.74651249 2.0391997  2.0759393 ]",1
"[0.87719497 2.80460416 0.16163351 1.35984083 2.2283647  0.96960034
 1.83121424 3.44059523 0.         1.92165593 2.0391997  1.05103226]",1
"[0.87719497 0.         1.32254199 5.05129299 1.4783022  0.46619528
 2.655389   3.49106711 0.         0.95555457 0.40062444 2.83722856]",1
"[7.80632875 2.13715223 2.79242293 1.46858629 4.27558892 4.01560642
 1.37813283 0.10729698 0.20904208 0.74651249 0.09201424 0.66325379]",1
"[2.28799873 3.79406455 2.96623767 5.65297305 1.4783022  0.46619528
 3.56019841 4.90371714 0.         0.95555457 1.40865673 2.04381466]",1
"[0.98849286 4.93295786 5.09459137 6.46275227 0.8175028  0.05320957
 3.56019841 4.23476502 0.         0.74651249 2.81678765 0.66325379]",1
"[0.87719497 2.95848196 2.96623767 4.97496353 1.57559668 0.96960034
 3.1472127  3.57509185 0.95555457 0.95555457 2.17015413 2.04381466]",1
"[0.98849286 4.93295786 5.09459137 6.46275227 0.8175028  0.05320957
 3.56019841 4.23476502 0.         0.74651249 2.81678765 0.66325379]",1
"[0.53348747 0.44854413 0.53424922 2.82641473 0.67722483 2.57274549
 0.43104478 2.07849322 0.         0.74651249 1.84381183 1.34492894]",1
"[1.05790429 6.52008064 6.42116002 5.60248152 1.10761124 0.71891544
 3.54965397 4.13502783 1.19734736 0.74651249 0.1527835  5.60098794]",1
"[5.5222945  4.34544051 2.41995164 1.29193136 5.6424461  2.61698483
 1.30995659 2.77459408 0.         1.17514344 0.         3.12697155]",1
"[5.5222945  1.54083635 3.58086011 4.98338352 4.8923836  2.11357977
 2.13413136 2.82506596 0.         0.20904208 1.63857526 0.76128926]",1
"[3.16122922 0.59631587 0.5341048  1.53649576 0.86150752 2.36822193
 1.89939047 0.77329814 0.20904208 0.         1.94718546 1.41268551]",1
"[6.93309827 5.33490091 5.2245558  5.58506358 4.8923836  2.11357977
 3.03894076 4.23771599 0.         0.20904208 0.63054297 0.03212463]",1
"[5.6335924  6.47379421 7.3529095  6.3948428  4.2315842  1.70059406
 3.03894076 3.56876386 0.         0.         0.77758795 1.41268551]",1
"[5.5222945  4.49931832 5.2245558  4.90705406 4.98967808 2.61698483
 2.62595505 2.90909069 0.95555457 0.20904208 0.13095442 0.03212463]",1
"[5.6335924  6.47379421 7.3529095  6.3948428  4.2315842  1.70059406
 3.03894076 3.56876386 0.         0.         0.77758795 1.41268551]",1
"[4.11161207 1.98938049 2.79256734 2.75850526 2.73685657 0.92536099
 0.09021286 1.41249206 0.         0.         0.19538787 0.73101035]",1
"[3.58719525 8.06091699 8.67947815 5.53457205 2.30647016 0.92846905
 3.02839632 3.46902667 1.19734736 0.         2.1919832  3.52504864]",1
"[0.         2.80460416 1.16090847 3.69145216 0.75006251 0.50340506
 0.82417476 0.05047188 0.         0.96610136 1.63857526 3.88826081]",1
"[8.68352372 4.94175639 2.95405644 2.82842712 6.50395362 4.98520676
 3.20934706 3.54789222 0.20904208 1.17514344 1.94718546 1.71428604]",1
"[1.41080376 0.98946039 2.80460416 4.29313222 0.75006251 0.50340506
 1.72898417 1.46312191 0.         0.96610136 0.63054297 3.09484692]",1
"[0.11129789 2.1283537  4.93295786 5.10291143 1.4108619  0.91639077
 1.72898417 0.79416978 0.         1.17514344 0.77758795 1.71428604]",1
"[0.         0.1538778  2.80460416 3.6151227  0.65276802 0.
 1.31599846 0.13449661 0.95555457 0.96610136 0.13095442 3.09484692]",1
"[0.11129789 2.1283537  4.93295786 5.10291143 1.4108619  0.91639077
 1.72898417 0.79416978 0.         1.17514344 0.77758795 1.71428604]",1
"[1.41068244 2.35606003 0.3726157  1.46657389 2.90558953 3.54234582
 1.40016945 1.36210202 0.         1.17514344 0.19538787 2.3959612 ]",1
"[1.93509926 3.71547648 6.25952651 4.24264069 3.33597595 1.68851578
 1.71843973 0.6944326  1.19734736 1.17514344 2.1919832  6.65202019]",1
"[8.68352372 2.13715223 4.11496491 6.51987928 5.75389112 4.4818017
 4.03352183 3.5983641  0.20904208 0.20904208 0.3086102  2.17397477]",1
"[1.41080376 3.79406455 1.64369569 0.60168006 0.         0.
 0.90480941 1.41265003 0.         0.         1.00803229 0.79341389]",1
"[0.11129789 4.93295786 3.77204938 1.41145927 0.6607994  0.41298571
 0.90480941 0.7436979  0.         0.20904208 2.41616321 2.17397477]",1
